bucket,pop,super_pop,country,trait_value,mean_pgs
GBR,GBR,EUR,United Kingdom,27.1,0.05916633432798069
FIN,FIN,EUR,Finland,25.3,0.16778470815574983
CHS,CHS,EAS,China,23.6,0.4132309570689755
CHS,CHS,EAS,China,23.6,0.4132309570689755
CHS,CHS,EAS,China,23.6,0.4132309570689755
CDX,CDX,EAS,China,23.6,0.4370232143292241
CDX,CDX,EAS,China,23.6,0.4370232143292241
CDX,CDX,EAS,China,23.6,0.4370232143292241
CLM,CLM,AMR,Colombia,26.5,0.23413483758816103
IBS,IBS,EUR,Spain,26,0.07668496472403498
PEL,PEL,AMR,Peru,26.9,0.5096313274907062
PJL,PJL,SAS,Pakistan,24.4,0.29777494345340355
KHV,KHV,EAS,Viet Nam,21.6,0.41825432304264243
ACB,ACB,AFR,Barbados,30,0.6107778057035687
GWD,GWD,AFR,Gambia,25.1,0.636624014998788
ESN,ESN,AFR,Nigeria,24,0.6374802403291614
ESN,ESN,AFR,Nigeria,24,0.6374802403291614
BEB,BEB,SAS,Bangladesh,21.2,0.3238455360380691
MSL,MSL,AFR,Sierra Leone,23.6,0.6698520319154809
STU,STU,SAS,Sri Lanka,23.5,0.31898656936216885
ITU,ITU,SAS,India,22.1,0.30360404041803707
ITU,ITU,SAS,India,22.1,0.30360404041803707
CEU,CEU,EUR,United States of America,28.8,0.037197592035167856
CEU,CEU,EUR,United States of America,28.8,0.037197592035167856
YRI,YRI,AFR,Nigeria,24,0.695012398014621
YRI,YRI,AFR,Nigeria,24,0.695012398014621
CHB,CHB,EAS,China,23.6,0.40011798585819164
CHB,CHB,EAS,China,23.6,0.40011798585819164
CHB,CHB,EAS,China,23.6,0.40011798585819164
JPT,JPT,EAS,Japan,21.7,0.46385826588043877
LWK,LWK,AFR,Kenya,24,0.6607308539932363
ASW,ASW,AFR,United States of America,28.8,0.5751930536850343
ASW,ASW,AFR,United States of America,28.8,0.5751930536850343
MXL,MXL,AMR,Mexico,28.7,0.36107107347760475
TSI,TSI,EUR,Italy,24.5,0.10654088909857465
GIH,GIH,SAS,India,22.1,0.2526885143812884
GIH,GIH,SAS,India,22.1,0.2526885143812884
