bucket,pop,super_pop,country,trait_value,mean_pgs
GBR,GBR,EUR,United Kingdom,27.5,0.03579374318794784
FIN,FIN,EUR,Finland,26.5,0.1431516622420935
CHS,CHS,EAS,China,24.2,0.41364349556487756
CHS,CHS,EAS,China,24.2,0.41364349556487756
CHS,CHS,EAS,China,24.2,0.41364349556487756
CDX,CDX,EAS,China,24.2,0.4246702828370701
CDX,CDX,EAS,China,24.2,0.4246702828370701
CDX,CDX,EAS,China,24.2,0.4246702828370701
CLM,CLM,AMR,Colombia,25.4,0.24557512445853735
IBS,IBS,EUR,Spain,27.4,0.09298286926313032
PEL,PEL,AMR,Peru,25.7,0.5273526310014293
PJL,PJL,SAS,Pakistan,23.3,0.28425033453071497
KHV,KHV,EAS,Viet Nam,21.5,0.42545449568261706
ACB,ACB,AFR,Barbados,27.4,0.6056613940965688
GWD,GWD,AFR,Gambia,23,0.6554651075263074
ESN,ESN,AFR,Nigeria,22.8,0.6804902467680786
ESN,ESN,AFR,Nigeria,22.8,0.6804902467680786
BEB,BEB,SAS,Bangladesh,20.7,0.3209482565960871
MSL,MSL,AFR,Sierra Leone,22,0.6709899642377435
STU,STU,SAS,Sri Lanka,22.5,0.34476994164258645
ITU,ITU,SAS,India,21.8,0.3127039311079727
ITU,ITU,SAS,India,21.8,0.3127039311079727
CEU,CEU,EUR,United States of America,28.8,0.05834014772190199
CEU,CEU,EUR,United States of America,28.8,0.05834014772190199
YRI,YRI,AFR,Nigeria,22.8,0.6895711584055223
YRI,YRI,AFR,Nigeria,22.8,0.6895711584055223
CHB,CHB,EAS,China,24.2,0.4324562268636628
CHB,CHB,EAS,China,24.2,0.4324562268636628
CHB,CHB,EAS,China,24.2,0.4324562268636628
JPT,JPT,EAS,Japan,23.6,0.45214552594675467
LWK,LWK,AFR,Kenya,21.9,0.6571396957253137
MXL,MXL,AMR,Mexico,27.5,0.3884659028644304
ASW,ASW,AFR,United States of America,28.8,0.5495319063559891
ASW,ASW,AFR,United States of America,28.8,0.5495319063559891
TSI,TSI,EUR,Italy,26.1,0.15052595448131734
GIH,GIH,SAS,India,21.8,0.2418129723133388
GIH,GIH,SAS,India,21.8,0.2418129723133388
