bucket,pop,super_pop,country,trait_value,mean_pgs
GBR,GBR,EUR,United Kingdom,168.375,6.4790838521767915
FIN,FIN,EUR,Finland,173.95,6.232636997297664
CHS,CHS,EAS,China,164.25,1.5207035456550777
CHS,CHS,EAS,China,164.25,1.5207035456550777
CHS,CHS,EAS,China,164.25,1.5207035456550777
PUR,PUR,AMR,Puerto Rico,171.3,2.0632188405296077
CDX,CDX,EAS,China,164.25,1.068837814395938
CDX,CDX,EAS,China,164.25,1.068837814395938
CDX,CDX,EAS,China,164.25,1.068837814395938
CLM,CLM,AMR,Colombia,164.64999999999998,2.8260124353674465
IBS,IBS,EUR,Spain,166.35,5.352978146958498
PEL,PEL,AMR,Peru,157.5,0.5859770245676778
PJL,PJL,SAS,Pakistan,159.85000000000002,5.088641063583884
KHV,KHV,EAS,Viet Nam,162.14999999999998,1.0746088808900605
ACB,ACB,AFR,Barbados,171.35,-3.125989144814599
GWD,GWD,AFR,Gambia,163.75,-3.906517439093426
ESN,ESN,AFR,Nigeria,160.8,-3.1709124364926744
ESN,ESN,AFR,Nigeria,160.8,-3.1709124364926744
BEB,BEB,SAS,Bangladesh,156.2,3.8893937185089102
MSL,MSL,AFR,Sierra Leone,162,-4.164267433335828
STU,STU,SAS,Sri Lanka,157.5,4.578206517188502
ITU,ITU,SAS,India,158.5,4.930527243555386
ITU,ITU,SAS,India,158.5,4.930527243555386
CEU,CEU,EUR,United States of America,168.3,6.6969075327619265
CEU,CEU,EUR,United States of America,168.3,6.6969075327619265
YRI,YRI,AFR,Nigeria,160.8,-3.4920636924620574
YRI,YRI,AFR,Nigeria,160.8,-3.4920636924620574
CHB,CHB,EAS,China,164.25,1.8949421895090919
CHB,CHB,EAS,China,164.25,1.8949421895090919
CHB,CHB,EAS,China,164.25,1.8949421895090919
JPT,JPT,EAS,Japan,165.2,1.5466736732597703
LWK,LWK,AFR,Kenya,163.89999999999998,-3.496713677949818
ASW,ASW,AFR,United States of America,168.3,-1.3787421956702257
ASW,ASW,AFR,United States of America,168.3,-1.3787421956702257
MXL,MXL,AMR,Mexico,165.5,1.6656258843206568
TSI,TSI,EUR,Italy,171.45,6.210588404795726
GIH,GIH,SAS,India,158.5,4.97163137924505
GIH,GIH,SAS,India,158.5,4.97163137924505
