bucket,pop,super_pop,country,trait_value,mean_pgs
GBR,GBR,EUR,United Kingdom,161.6,6.496024822188132
FIN,FIN,EUR,Finland,167.2,6.295234745830087
CHS,CHS,EAS,China,158.9,1.514356162837338
CHS,CHS,EAS,China,158.9,1.514356162837338
CHS,CHS,EAS,China,158.9,1.514356162837338
PUR,PUR,AMR,Puerto Rico,163.1,1.9185278025510082
CDX,CDX,EAS,China,158.9,1.0899332017923309
CDX,CDX,EAS,China,158.9,1.0899332017923309
CDX,CDX,EAS,China,158.9,1.0899332017923309
CLM,CLM,AMR,Colombia,158.7,2.63844564022011
IBS,IBS,EUR,Spain,159.6,5.3534056438877675
PEL,PEL,AMR,Peru,151,0.6467680315132267
PJL,PJL,SAS,Pakistan,153.9,5.085760661145596
KHV,KHV,EAS,Viet Nam,156.2,0.9886355164101527
ACB,ACB,AFR,Barbados,165.7,-3.233860038643935
GWD,GWD,AFR,Gambia,160.3,-3.8759690904771023
ESN,ESN,AFR,Nigeria,157.8,-2.9720125888142617
ESN,ESN,AFR,Nigeria,157.8,-2.9720125888142617
BEB,BEB,SAS,Bangladesh,150.3,3.8795849207987336
MSL,MSL,AFR,Sierra Leone,158,-4.166307814515478
STU,STU,SAS,Sri Lanka,151.4,4.525633747194596
ITU,ITU,SAS,India,152,5.099500584740446
ITU,ITU,SAS,India,152,5.099500584740446
CEU,CEU,EUR,United States of America,161.3,6.749920507773885
CEU,CEU,EUR,United States of America,161.3,6.749920507773885
YRI,YRI,AFR,Nigeria,157.8,-3.5924288628768
YRI,YRI,AFR,Nigeria,157.8,-3.5924288628768
CHB,CHB,EAS,China,158.9,2.0029833082992137
CHB,CHB,EAS,China,158.9,2.0029833082992137
CHB,CHB,EAS,China,158.9,2.0029833082992137
JPT,JPT,EAS,Japan,158.6,1.599600920441437
LWK,LWK,AFR,Kenya,158.2,-3.4346355846861942
ASW,ASW,AFR,United States of America,161.3,-1.5023278179192994
ASW,ASW,AFR,United States of America,161.3,-1.5023278179192994
MXL,MXL,AMR,Mexico,159,1.531111936752432
TSI,TSI,EUR,Italy,164.5,6.217728604310169
GIH,GIH,SAS,India,152,5.031778094932119
GIH,GIH,SAS,India,152,5.031778094932119
