"sample","PGS002802"
"HG00096","6.619495866528352"
"HG00097","6.568211950999208"
"HG00099","6.382793465119738"
"HG00100","6.240717770588935"
"HG00101","6.881436638768305"
"HG00102","6.731443176934516"
"HG00103","6.307107842849872"
"HG00105","6.469294519444755"
"HG00106","5.884709245520455"
"HG00107","7.769592495475559"
"HG00108","5.379679409838211"
"HG00109","7.175358394090047"
"HG00110","5.930200624176803"
"HG00111","6.809002875966134"
"HG00112","6.904180038435632"
"HG00113","6.34767295109687"
"HG00114","6.773534102714901"
"HG00115","6.788496012949221"
"HG00116","6.77501761679984"
"HG00117","6.243234198402892"
"HG00118","6.361543043781734"
"HG00119","6.425734217586646"
"HG00120","6.065096812636098"
"HG00121","6.639956242473417"
"HG00122","7.0107562549189"
"HG00123","7.085055601600278"
"HG00125","6.912941428023972"
"HG00126","6.918297699993008"
"HG00127","6.044784109275037"
"HG00128","6.5053834184027615"
"HG00129","6.718342590631102"
"HG00130","5.793725517815873"
"HG00131","6.839731877960748"
"HG00132","6.2916926094622365"
"HG00133","5.78167116565707"
"HG00136","6.8666392595762"
"HG00137","6.866776192746832"
"HG00138","6.216065533634205"
"HG00139","7.247721497966998"
"HG00140","6.99709804810261"
"HG00141","6.9198936833396"
"HG00142","6.508511115281898"
"HG00143","6.641243194463735"
"HG00145","6.37017574045922"
"HG00146","6.745714982350103"
"HG00148","6.021390856500188"
"HG00149","6.277611126141863"
"HG00150","7.119481965442704"
"HG00151","6.791991619937326"
"HG00154","7.93739029857491"
"HG00155","6.824442282162245"
"HG00157","6.519639279952472"
"HG00158","6.97374457900607"
"HG00159","7.109140275413245"
"HG00160","7.570777455571098"
"HG00171","5.01704624883146"
"HG00173","5.413952536188342"
"HG00174","6.379557186804493"
"HG00176","4.79054130310822"
"HG00177","6.1890372996159755"
"HG00178","6.402971101191126"
"HG00179","6.58116534979713"
"HG00180","7.02357019078583"
"HG00181","7.509570532233629"
"HG00182","6.568628823333112"
"HG00183","5.986278812566868"
"HG00185","7.6054546114625445"
"HG00186","5.259033997961632"
"HG00187","5.560332982798386"
"HG00188","5.798671140197362"
"HG00189","5.910315788304824"
"HG00190","5.566251208468179"
"HG00231","5.723919353977996"
"HG00232","6.692742973368777"
"HG00233","6.635464605568666"
"HG00234","4.630124858718233"
"HG00235","8.475093990448586"
"HG00236","6.265261806241433"
"HG00237","6.6766278475771745"
"HG00238","6.531903329701897"
"HG00239","6.588305027879519"
"HG00240","6.037316206147935"
"HG00242","6.0991382854978475"
"HG00243","6.256630219297263"
"HG00244","5.391285271093182"
"HG00245","5.719797923337783"
"HG00246","6.027550348532875"
"HG00250","6.5823774158599555"
"HG00251","6.6814721268895285"
"HG00252","4.679736044449337"
"HG00253","5.764431057755486"
"HG00254","6.61786653441337"
"HG00255","6.160426606295561"
"HG00256","6.226354775415782"
"HG00257","6.4698829965134825"
"HG00258","6.637264436834138"
"HG00259","6.83166205128652"
"HG00260","6.019287707551479"
"HG00261","5.921132694379837"
"HG00262","6.422360939199495"
"HG00263","6.216164516103145"
"HG00264","7.705632756986907"
"HG00265","4.993962824796888"
"HG00266","7.172958196090987"
"HG00267","5.077961482452494"
"HG00268","7.72188823663384"
"HG00269","4.551525458219443"
"HG00271","6.399295415824463"
"HG00272","4.976435163747556"
"HG00273","5.9243396024077875"
"HG00274","7.356636635651128"
"HG00275","6.595650761563554"
"HG00276","5.041445895649208"
"HG00277","6.81490400966074"
"HG00278","5.427219819605012"
"HG00280","8.119933798923707"
"HG00281","6.985351822755548"
"HG00282","6.129814533089369"
"HG00284","4.772611567490592"
"HG00285","6.570066857349485"
"HG00288","6.33322390247929"
"HG00290","6.373761501511714"
"HG00304","6.032376860953885"
"HG00306","7.337875835989482"
"HG00308","4.59749337310057"
"HG00309","5.258556045941585"
"HG00310","6.288309415544972"
"HG00311","6.240758043084138"
"HG00313","7.059409145220084"
"HG00315","5.562758938857025"
"HG00318","7.4379333512433705"
"HG00319","6.104753348174833"
"HG00320","7.121992776954208"
"HG00321","5.716535140571097"
"HG00323","6.903360145191811"
"HG00324","6.071421255627677"
"HG00325","5.490180938837534"
"HG00326","6.860445032632288"
"HG00327","7.334837625251165"
"HG00328","5.636294302758871"
"HG00329","6.237212376761917"
"HG00330","6.049692694757793"
"HG00331","7.131561286571313"
"HG00332","6.381335025550694"
"HG00334","6.098091333625972"
"HG00335","6.103425836610517"
"HG00336","5.430571217980884"
"HG00337","7.162499876423824"
"HG00338","6.7187413329821"
"HG00339","5.7702080936798374"
