"sample","PGS004034"
"HG00096","-0.010157137902760124"
"HG00097","-0.0012691808321863597"
"HG00099","-0.0011988732233205804"
"HG00100","-0.006810084437217881"
"HG00101","-0.009271334692417307"
"HG00102","7.759856064426425E-4"
"HG00103","0.0026089540475887213"
"HG00105","-0.008303597257574229"
"HG00106","-0.004549594872410467"
"HG00107","-0.0032472239038825595"
"HG00108","-0.0030118036635922857"
"HG00109","0.004429872905247299"
"HG00110","-0.010032074725083003"
"HG00111","-0.0014295031069132338"
"HG00112","0.0040729074861806"
"HG00113","-4.366802964820074E-4"
"HG00114","-0.005613857025379053"
"HG00115","-0.006951141102349737"
"HG00116","-0.007292111695050417"
"HG00117","-0.003932647216602483"
"HG00118","-0.006758084738714604"
"HG00119","-0.0037495579592528652"
"HG00120","-0.007663559723242012"
"HG00121","-0.005931084173667056"
"HG00122","-0.004795952160505719"
"HG00123","-0.00449362167757825"
"HG00125","-0.00140972923343664"
"HG00126","-0.00677642505253109"
"HG00127","-0.002307208910162027"
"HG00128","-0.0023755560687789418"
"HG00129","-0.004770156806974818"
"HG00130","0.001438975086665538"
"HG00131","-0.004124190410446291"
"HG00132","-0.007423982691353113"
"HG00133","6.290725591186763E-4"
"HG00136","-0.003501501241494797"
"HG00137","3.686441749866931E-4"
"HG00138","-0.001435248158594648"
"HG00139","4.548167390009336E-4"
"HG00140","-0.01096620100844451"
"HG00141","-0.009032884488174193"
"HG00142","0.046793963946468946"
"HG00143","-0.008733488563775187"
"HG00145","-0.008207352629104436"
"HG00146","-0.003887595814145439"
"HG00148","-1.0229928172672195E-4"
"HG00149","-0.00402317127935025"
"HG00150","-0.008954453871113825"
"HG00151","-0.006634779178144937"
"HG00154","-0.007679527997110327"
"HG00155","-0.006109893994137486"
"HG00157","-0.005837496025743374"
"HG00158","7.477157396059489E-4"
"HG00159","-0.005789682908482627"
"HG00160","-0.011050039864975096"
"HG00171","-0.008667483303819591"
"HG00173","-0.009086683905031059"
"HG00174","-0.008410721949385712"
"HG00176","-5.653472365499471E-4"
"HG00177","-0.004947710972874414"
"HG00178","0.0033472304112067384"
"HG00179","-0.004378518590299585"
"HG00180","-0.010207359705827146"
"HG00181","-0.004751730866579429"
"HG00182","-9.403977074895278E-4"
"HG00183","-0.009525080638487886"
"HG00185","-0.004697711915392047"
"HG00186","0.001427925797305482"
"HG00187","-0.007135367074441755"
"HG00188","0.001363451454235838"
"HG00189","-0.00978581598411183"
"HG00190","-0.005737667168724522"
"HG00231","-0.009522348864757592"
"HG00232","-0.00679115109423814"
"HG00233","-0.002383809877339195"
"HG00234","4.000188630595425E-4"
"HG00235","-7.540924828446198E-4"
"HG00236","-0.009993817108966609"
"HG00237","-0.00450081021793769"
"HG00238","-0.0015501884382296098"
"HG00239","-0.005351617990939261"
"HG00240","-0.006112579008584279"
"HG00242","-0.008061517019734121"
"HG00243","-0.007442976679768131"
"HG00244","-0.008008110963468984"
"HG00245","0.001245617024713267"
"HG00246","-0.00587614231532246"
"HG00250","-0.0026716049554996527"
"HG00251","-0.0032140759274615974"
"HG00252","-0.00793111422137181"
"HG00253","-0.009729670051564415"
"HG00254","-0.007130338217969649"
"HG00255","-0.006264578145394505"
"HG00256","-0.004605460106898031"
"HG00257","0.0016331100888730965"
"HG00258","-0.0025736708291468832"
"HG00259","-0.009010874339605894"
"HG00260","-0.0011989030396859501"
"HG00261","-0.0057766170186251825"
"HG00262","-0.006741140115392608"
"HG00263","0.0010295369868003404"
"HG00264","-0.007953494849098824"
"HG00265","-0.008238071510435006"
"HG00266","-0.010510278987046748"
"HG00267","0.001738827804151584"
"HG00268","-0.005275137438697397"
"HG00269","-0.00784196469503656"
"HG00271","-0.003558039370597406"
"HG00272","-0.008094577071742458"
"HG00273","-0.010144618103747595"
"HG00274","-0.006771288446740707"
"HG00275","-0.004838889657149546"
"HG00276","-0.007058447962385063"
"HG00277","-0.009355569600579462"
"HG00278","-0.006862775326759572"
"HG00280","-0.0036834012349307235"
"HG00281","3.716827366250647E-5"
"HG00282","-0.006173641326558437"
"HG00284","-0.0012217223653542206"
"HG00285","-0.008054303983520576"
"HG00288","-0.004883840940179081"
"HG00290","-0.006166239440595224"
"HG00304","0.00301337348259062"
"HG00306","-0.0027818214244648178"
"HG00308","-5.048732098431215E-4"
"HG00309","-0.006709551771953794"
"HG00310","-0.006769432327000762"
"HG00311","-0.004248099141773799"
"HG00313","-0.003032458403811729"
"HG00315","-0.004680183434619626"
"HG00318","-0.005215269051345055"
"HG00319","-0.010627217128558419"
"HG00320","0.0012258039946178544"
"HG00321","-0.006693997198300886"
"HG00323","-0.0064777070422691665"
"HG00324","-0.0026782077455739794"
"HG00325","-5.144623442855482E-4"
"HG00326","-0.007227278337247688"
"HG00327","-0.0033459207584686547"
"HG00328","-0.008473369645429114"
"HG00329","0.002186516431060874"
"HG00330","-0.004868279508091558"
"HG00331","-0.0015966221777338023"
"HG00332","-0.0026439186624496805"
"HG00334","-0.004357251254270188"
"HG00335","-0.008834944530302282"
"HG00336","-0.0018031572773531436"
"HG00337","-0.003304414593259395"
"HG00338","-0.004353679568416112"
"HG00339","-0.0042644291810668075"
"HG00341","-0.001824053788084902"
"HG00342","-0.007591994100054265"
"HG00343","-0.009049001011728602"
"HG00344","-0.004870602169364323"
"HG00345","-0.0031939570010568775"
"HG00346","-0.0020582208396428617"
"HG00349","-0.006179092237916649"
"HG00350","-0.008118544855299645"
"HG00351","-0.009650219816001941"
"HG00353","-2.5448347035359267E-4"
"HG00355","-0.0022728524802190612"
"HG00356","-0.007281260676113004"
"HG00357","-0.008417994595187907"
"HG00358","-0.0028265573815326045"
"HG00360","-0.0043072498639782665"
"HG00361","-0.005272684666642682"
"HG00362","-0.004555185430196708"
"HG00364","-0.003054435567344617"
"HG00365","-6.56176539714514E-4"
"HG00366","-0.004727818646320461"
"HG00367","-0.0015130290405427418"
"HG00368","-0.008500810911632746"
"HG00369","-0.006576429636921937"
"HG00371","-0.010248025554361252"
"HG00372","-0.0014266398128948143"
"HG00373","-0.005268080166484921"
"HG00375","-0.004790921488295276"
"HG00376","-0.005244358912425702"
"HG00378","-0.005108630763834401"
"HG00379","-0.006031295767718867"
"HG00380","-0.006116757343507844"
"HG00381","-0.0072450076904122356"
"HG00382","-3.4500667302718793E-4"
"HG00383","-0.0018426341798401975"
"HG00384","-0.00973231465983566"
"HG00403","-0.005414357652075284"
"HG00404","-0.001898973976247425"
"HG00406","-0.0054735024997919594"
"HG00407","-0.008569729100838582"
"HG00409","-0.008643624346493843"
"HG00410","-0.006691113903098712"
"HG00419","-0.0035746502271828753"
"HG00421","-0.008373754206874803"
"HG00422","-0.0070789251680851255"
"HG00428","-0.0037724682127531634"
"HG00436","-0.0012200080962014824"
"HG00437","-0.002769639930776755"
"HG00442","-0.00664981735584649"
"HG00443","-0.005285239714599623"
"HG00445","-0.0057994731879945464"
"HG00446","-0.005917183314383411"
"HG00448","-0.006790492764743177"
"HG00449","-0.009200369216860113"
"HG00451","-0.006113634902112967"
"HG00452","-0.006997238849008408"
"HG00457","-3.986190201752497E-4"
"HG00458","-0.0063722271897099295"
"HG00463","-0.004478600106861807"
"HG00464","-0.0054154384898230205"
"HG00472","3.342629193925188E-4"
"HG00473","-0.004719814092480817"
"HG00475","-0.0050727529292546"
"HG00476","-0.007146544207619617"
"HG00478","-0.006401784762532649"
"HG00479","-0.006341406135637811"
"HG00500","-0.007218644869561749"
"HG00513","-0.00383655436939756"
"HG00524","-0.005883595679886847"
"HG00525","-0.01024298528187851"
"HG00530","-0.004065995048315934"
"HG00531","-0.005126474255626092"
"HG00533","-0.008916263998565231"
"HG00534","-0.0077143366843108255"
"HG00536","-0.00547840914206511"
"HG00537","-0.009286057074217712"
"HG00542","-0.006936998316889258"
"HG00543","-0.006724254767891416"
"HG00551","-0.002412675391982734"
"HG00553","3.847821374340088E-4"
"HG00554","0.0011823330935444923"
"HG00556","-0.0025729992419223184"
"HG00557","-0.008294463064056165"
"HG00559","-0.005936594132940048"
"HG00560","-0.0074000238490006635"
"HG00565","-0.006460008211333437"
"HG00566","-0.005818020644480872"
"HG00580","-0.005565686031201052"
"HG00581","-0.008776657042905558"
"HG00583","-0.00651853815087821"
"HG00584","-0.006060241746769637"
"HG00589","-0.0059111418226570275"
"HG00590","-0.004786601756461988"
"HG00592","-0.0052423085040617795"
"HG00593","-0.01083778068952717"
"HG00595","-0.004907981370210736"
"HG00596","-0.00486352546050987"
"HG00598","-0.0014539814127813785"
"HG00599","-0.00266611651351965"
"HG00607","-0.006420764302649189"
"HG00608","-0.0057729685163050055"
"HG00610","-0.006605767188673235"
"HG00611","-0.006044668905391303"
"HG00613","-0.008492293264362467"
"HG00614","-0.008297232393067771"
"HG00619","-0.004787400654251522"
"HG00620","-0.0028851209288168235"
"HG00622","-0.009772508433299826"
"HG00623","-0.006062803286274992"
"HG00625","-0.00343849107585089"
"HG00626","-0.005478051546207376"
"HG00628","-0.009460944440596253"
"HG00629","-0.0017722363433111052"
"HG00631","-0.0016518908299471662"
"HG00632","-0.004876281059331529"
"HG00634","-0.006103979964649432"
"HG00637","-0.002529318069907204"
"HG00638","-0.002572014821602766"
"HG00640","-0.001397916800856977"
"HG00641","-0.004510410036007585"
"HG00650","-0.00871875518637134"
"HG00651","-0.008086334558714863"
"HG00653","-0.00540624856981247"
"HG00654","-0.00395895226109666"
"HG00656","-0.00911381943944399"
"HG00657","-0.007301577455575636"
"HG00662","-0.006926126523507187"
"HG00663","-0.0048679507272058956"
"HG00671","-0.009324688368489438"
"HG00672","-0.006010891245718748"
"HG00674","-0.005363163865407618"
"HG00675","-0.006415306291671353"
"HG00683","-0.007159213226216193"
"HG00684","-0.00958423294728529"
"HG00689","-0.006066302205827143"
"HG00690","-0.0023279180856311463"
"HG00692","-0.004625471576512628"
"HG00693","-0.004662615775070829"
"HG00698","-0.003246025544551036"
"HG00699","-0.010045850240661236"
"HG00701","-0.0029843682775236025"
"HG00704","-0.004012673389646955"
"HG00705","-0.007721897378751959"
"HG00707","-0.0029824856837734025"
"HG00708","-0.009454118726020463"
"HG00717","-0.00392558732094888"
"HG00728","-0.0017277590696471792"
"HG00729","-0.00483806320450891"
"HG00731","-0.0021811187801847633"
"HG00732","-0.0014010475545229682"
"HG00734","-0.003968834986237516"
"HG00736","-0.009825827796118583"
"HG00737","-0.003866706972642041"
"HG00739","-6.81029041062594E-4"
"HG00740","-0.0018755876254086638"
"HG00742","-0.006427403489664925"
"HG00743","-0.009855816780843598"
"HG00759","-0.005698137894873851"
"HG00766","-0.0055940754594968264"
"HG00844","-0.007432158769845612"
"HG00851","-0.009391476502637771"
"HG00864","-0.007747254742581651"
"HG00867","-0.004876386086150968"
"HG00879","-6.864381506904368E-4"
"HG00881","-0.004219297136192353"
"HG00956","-0.006913019558384009"
"HG00978","-0.005895301023054102"
