"sample","PGS002237"
"HG00096","-0.634699996910058"
"HG00097","0.013399992196355015"
"HG00099","-0.14670000108890235"
"HG00100","-0.5645999947446398"
"HG00101","-0.5355999998864718"
"HG00102","-1.0303999959141947"
"HG00103","-1.0375999961979687"
"HG00105","-0.04579998826375231"
"HG00106","-0.07219999749213457"
"HG00107","-0.8247999961022288"
"HG00108","-0.24709998985053971"
"HG00109","-0.7001999996136874"
"HG00110","-0.8163000032072887"
"HG00111","-1.0369999921531416"
"HG00112","-0.9442999976454303"
"HG00113","-0.7761999953072518"
"HG00114","-0.48560000001452863"
"HG00115","-0.5542999978060834"
"HG00116","-0.5900999964796938"
"HG00117","-1.1270999944536015"
"HG00118","-0.6659999977564439"
"HG00119","-0.6179000010015443"
"HG00120","-0.5053000012994744"
"HG00121","-0.5635999941732734"
"HG00122","-0.6616999952821061"
"HG00123","-1.3405999906826764"
"HG00125","-0.5765999981667846"
"HG00126","-1.087199995527044"
"HG00127","-0.44020000367891043"
"HG00128","-0.9629000012646429"
"HG00129","-0.7539999957662076"
"HG00130","-0.3277999970014207"
"HG00131","-1.0151999969384633"
"HG00132","-1.2729000022518449"
"HG00133","-0.7307999940239824"
"HG00136","-0.7239999956800602"
"HG00137","-0.36359999974956736"
"HG00138","-0.9268999976338819"
"HG00139","-0.8692999990307726"
"HG00140","-0.6542999936500564"
"HG00141","-0.5418999918620102"
"HG00142","-0.8451999998069368"
"HG00143","-0.9463000014075078"
"HG00145","-0.552399990381673"
"HG00146","-0.5606999979936518"
"HG00148","-0.9616000018431805"
"HG00149","-0.4263999939430505"
"HG00150","-0.6132999954279512"
"HG00151","-0.9276999988942407"
"HG00154","-1.250299995939713"
"HG00155","-0.870399996812921"
"HG00157","-0.850399992603343"
"HG00158","-0.29030000581406057"
"HG00159","-0.6215999948908575"
"HG00160","-0.08229999581817538"
"HG00171","-0.8591999963973649"
"HG00173","-1.0622999975457788"
"HG00174","-0.19879998988471925"
"HG00176","-0.9956999975838698"
"HG00177","-0.58889999485109"
"HG00178","-0.7974999949801713"
"HG00179","-1.492099994502496"
"HG00180","-0.7237000050372444"
"HG00181","-0.46769998961826786"
"HG00182","-0.810999991837889"
"HG00183","-0.765700000920333"
"HG00185","-0.7070999996503815"
"HG00186","-0.9066999933565967"
"HG00187","-1.378600002557505"
"HG00188","-0.740900005272124"
"HG00189","-0.6683999878587201"
"HG00190","-0.7370999977574684"
"HG00231","-0.8907000033650547"
"HG00232","-0.4256999995559454"
"HG00233","-1.0277999938698485"
"HG00234","-1.3594999971683137"
"HG00235","-0.35439999494701624"
"HG00236","-0.5862999988021329"
"HG00237","-0.8153999956557527"
"HG00238","-0.581599990837276"
"HG00239","-0.47689999791327864"
"HG00240","-1.6038999978336506"
"HG00242","-1.446599999559112"
"HG00243","-0.8674000002793036"
"HG00244","-0.8116999924532138"
"HG00245","-0.6876999946543947"
"HG00246","-0.7745000055874698"
"HG00250","-0.9562999972258694"
"HG00251","-0.6552999937557615"
"HG00252","-1.0950999931665137"
"HG00253","-0.1534999954747036"
"HG00254","-1.093499997863546"
"HG00255","-0.948699998378288"
"HG00256","-1.265299997467082"
"HG00257","-0.6544999964535236"
"HG00258","-0.7855000005220063"
"HG00259","-1.1220999950892292"
"HG00260","-0.9856999950716272"
"HG00261","-0.7840999950421974"
"HG00262","-1.1545999984955415"
"HG00263","-1.0694000073126517"
"HG00264","-1.0407000012346543"
"HG00265","-0.2102999970666133"
"HG00266","-0.14699999790173024"
"HG00267","-1.2682000026106834"
"HG00268","-0.7848000017693266"
"HG00269","-1.0909000083920546"
"HG00271","-0.9158999976934865"
"HG00272","-0.2811000013607554"
"HG00273","-0.7622999975574203"
"HG00274","-1.0393000000040047"
"HG00275","-0.8603000052971765"
"HG00276","-0.6061999995727092"
"HG00277","-0.8986000012955628"
"HG00278","-0.9013000043923967"
"HG00280","-0.8894999955082312"
"HG00281","-1.132499999308493"
"HG00282","-1.0738000007113442"
"HG00284","-0.5000000002910383"
"HG00285","-0.747399999119807"
"HG00288","-0.9854999972740188"
"HG00290","-0.8832999963196926"
"HG00304","-0.8542000032612123"
"HG00306","-0.9810999964247458"
"HG00308","-0.7118999983649701"
"HG00309","-0.47519999369978905"
"HG00310","-0.7835000003105961"
"HG00311","-0.21989999921061099"
"HG00313","-0.5194999998784624"
"HG00315","-0.4110999979893677"
"HG00318","-1.2645999943488277"
"HG00319","-1.223399999202229"
"HG00320","-0.6965999954845756"
"HG00321","-1.4118000015150756"
"HG00323","-0.7020000004558824"
"HG00324","-0.7639000020571984"
"HG00325","-0.41579999902751297"
"HG00326","-0.6607000036165118"
"HG00327","-1.1464000031119213"
"HG00328","-0.6419999953359365"
"HG00329","-0.4864999999990687"
"HG00330","-0.2555999970063567"
"HG00331","-0.5443999969866127"
"HG00332","-0.823099996719975"
"HG00334","-1.189899999764748"
"HG00335","-0.6542999920784496"
"HG00336","-0.8378999934648164"
"HG00337","-0.6574999981676228"
"HG00338","-0.921799999079667"
"HG00339","-0.7790999897406437"
"HG00341","-0.8210999961593188"
"HG00342","-1.1196000060299411"
"HG00343","-0.9068999968585558"
"HG00344","-0.7173999948427081"
