"sample","PGS004228"
"HG00096","-8.057900108397007"
"HG00097","-9.523000115528703"
"HG00099","-9.429200077429414"
"HG00100","-11.074900140985847"
"HG00101","-5.70010013692081"
"HG00102","-8.449900129809976"
"HG00103","-11.4045000821352"
"HG00105","-11.228000180795789"
"HG00106","-8.977200089022517"
"HG00107","-10.385500149801373"
"HG00108","-8.335900027304888"
"HG00109","-5.376100141555071"
"HG00110","-8.149600066244602"
"HG00111","-5.855900175869465"
"HG00112","-14.404400281608105"
"HG00113","-12.496800115332007"
"HG00114","-6.376800108700991"
"HG00115","-8.20820010267198"
"HG00116","-10.318700160831213"
"HG00117","-5.665200166404247"
"HG00118","-9.306700116023421"
"HG00119","-14.01190023869276"
"HG00120","-11.552400045096874"
"HG00121","-7.523900218307972"
"HG00122","-10.221000116318464"
"HG00123","-8.194000134244561"
"HG00125","-9.33620022982359"
"HG00126","-16.126900194212794"
"HG00127","-11.44730013050139"
"HG00128","-11.011900093406439"
"HG00129","-11.173000128939748"
"HG00130","-13.656000128015876"
"HG00131","-10.565400023013353"
"HG00132","-8.094100000336766"
"HG00133","-11.081800140440464"
"HG00136","-8.69690028950572"
"HG00137","-13.617200126871467"
"HG00138","-9.325600121170282"
"HG00139","-6.404300078749657"
"HG00140","-11.47959995828569"
"HG00141","-9.648400088772178"
"HG00142","-12.486200042068958"
"HG00143","-12.290200132876635"
"HG00145","-5.876400163397193"
"HG00146","-13.757000129669905"
"HG00148","-7.189699981361628"
"HG00149","-9.548300189897418"
"HG00150","-9.824600143358111"
"HG00151","-12.283700205385685"
"HG00154","-5.688900079578161"
"HG00155","-7.99610011279583"
"HG00157","-12.645400077104568"
"HG00158","-10.931300070136786"
"HG00159","-7.900700103491545"
"HG00160","-14.463000254705548"
"HG00171","-11.989500081166625"
"HG00173","-14.727400125935674"
"HG00174","-10.072200134396553"
"HG00176","-11.012200124561787"
"HG00177","-11.725900223478675"
"HG00178","-12.107300052419305"
"HG00179","-9.662900185212493"
"HG00180","-14.248000038787723"
"HG00181","-14.332700103521347"
"HG00182","-15.770100077614188"
"HG00183","-14.631800083443522"
"HG00185","-10.565300086513162"
"HG00186","-10.343500124290586"
"HG00187","-9.9143000934273"
"HG00188","-11.583800023421645"
"HG00189","-8.431299997493625"
"HG00190","-8.65800023637712"
"HG00231","-13.384900018572807"
"HG00232","-10.929100185632706"
"HG00233","-11.029300153255463"
"HG00234","-10.182500179857016"
"HG00235","-8.585300084203482"
"HG00236","-8.580700175836682"
"HG00237","-7.710600124672055"
"HG00238","-10.545600039884448"
"HG00239","-10.32690018042922"
"HG00240","-8.515300126746297"
"HG00242","-13.642200058326125"
"HG00243","-9.706000082194805"
"HG00244","-11.175600169226527"
"HG00245","-13.543100172653794"
"HG00246","-11.7596001829952"
"HG00250","-3.799800058826804"
"HG00251","-8.553600093349814"
"HG00252","-12.682300176471472"
"HG00253","-5.855400098487735"
"HG00254","-9.53520005196333"
"HG00255","-1.5299000348895788"
"HG00256","-10.115300009027123"
"HG00257","-8.534900145605206"
"HG00258","-7.576200142502785"
"HG00259","-12.44310019724071"
"HG00260","-8.17660017684102"
"HG00261","-6.998500159010291"
"HG00262","-4.82190016657114"
"HG00263","-12.849600043147802"
"HG00264","-9.62850015424192"
"HG00265","-11.95600014179945"
"HG00266","-8.413500165566802"
"HG00267","-10.246900232508779"
"HG00268","-15.815600154921412"
"HG00269","-12.409500190988183"
"HG00271","-12.982500106096268"
"HG00272","-13.479400001466274"
"HG00273","-10.322600008919835"
"HG00274","-10.111700193956494"
"HG00275","-10.445800049230456"
"HG00276","-12.667500184848905"
"HG00277","-7.901800001040101"
"HG00278","-12.95690006017685"
"HG00280","-16.916800061240792"
"HG00281","-13.276100125163794"
"HG00282","-16.25400012359023"
"HG00284","-10.5694001596421"
"HG00285","-13.016700124368072"
"HG00288","-10.02170012332499"
"HG00290","-7.4606001526117325"
"HG00304","-12.642000010237098"
"HG00306","-11.05630013346672"
"HG00308","-11.942800180986524"
"HG00309","-10.895600037649274"
"HG00310","-15.621100060641766"
"HG00311","-9.235900046303868"
"HG00313","-9.572400161996484"
"HG00315","-10.589100204408169"
"HG00318","-15.214900113642216"
"HG00319","-11.626300128176808"
"HG00320","-12.072100214660168"
"HG00321","-13.50550002604723"
"HG00323","-11.710500188171864"
"HG00324","-11.626100027933717"
"HG00325","-10.673800133168697"
"HG00326","-11.891600158065557"
"HG00327","-12.82260014116764"
"HG00328","-11.350600121542811"
"HG00329","-6.375200109556317"
"HG00330","-12.486000193282962"
"HG00331","-13.807600183412433"
"HG00332","-8.134300058707595"
"HG00334","-10.229800073429942"
"HG00335","-12.034300021827221"
"HG00336","-8.389800131320953"
"HG00337","-10.372800109907985"
"HG00338","-11.12580001167953"
"HG00339","-8.357600141316652"
"HG00341","-15.136000130325556"
"HG00342","-9.076300170272589"
"HG00343","-13.509600140154362"
"HG00344","-9.125000117346644"
"HG00345","-8.698200028389692"
"HG00346","-9.961799984797835"
"HG00349","-8.189500095322728"
"HG00350","-11.063600171357393"
"HG00351","-9.754300128668547"
"HG00353","-15.052300112321973"
"HG00355","-11.223300212994218"
"HG00356","-12.17190008610487"
"HG00357","-7.436500124633312"
"HG00358","-11.605500187724829"
"HG00360","-15.056300142779946"
"HG00361","-11.192299950867891"
"HG00362","-11.714700099080801"
"HG00364","-7.14730024151504"
"HG00365","-10.32380018942058"
"HG00366","-14.78580017015338"
"HG00367","-9.805800037458539"
"HG00368","-11.458299983292818"
"HG00369","-13.853400075808167"
"HG00371","-15.345000106841326"
"HG00372","-8.333400098606944"
"HG00373","-7.804800139740109"
"HG00375","-17.283500155434012"
"HG00376","-8.329300090670586"
"HG00378","-9.508900048211217"
"HG00379","-5.379000084474683"
"HG00380","-12.93610017746687"
"HG00381","-9.004600089043379"
"HG00382","-15.006000012159348"
"HG00383","-13.26410011947155"
"HG00384","-11.98640013858676"
"HG00403","-0.6299001146107912"
"HG00404","-5.571400118991733"
"HG00406","-8.417699929326773"
"HG00407","-6.433200119063258"
"HG00409","-7.675500033423305"
"HG00410","-6.426100095734"
"HG00419","-9.92160002887249"
"HG00421","-0.9660000633448362"
"HG00422","-6.173000039532781"
"HG00428","-7.219500131905079"
"HG00436","-6.553600052371621"
"HG00437","-6.431100117042661"
"HG00442","-6.099800068885088"
"HG00443","-8.473900010809302"
"HG00445","-4.359900092706084"
"HG00446","-6.762300116941333"
"HG00448","-4.790300190448761"
"HG00449","-8.992900105193257"
"HG00451","-6.282700041308999"
"HG00452","-3.785700149834156"
"HG00457","-6.176200211048126"
"HG00458","-0.9678000062704086"
"HG00463","-9.797000024467707"
"HG00464","-6.852400116622448"
"HG00472","-7.319200098514557"
"HG00473","-3.462400183081627"
"HG00475","-7.630900086835027"
"HG00476","-3.0815000273287296"
"HG00478","-6.192000096663833"
"HG00479","-8.157400142401457"
"HG00500","-5.20590004324913"
"HG00513","-6.3140000235289335"
"HG00524","-4.367600137367845"
"HG00525","-5.495900128036737"
"HG00530","-10.371500043198466"
"HG00531","-5.541800081729889"
"HG00533","-3.2736000679433346"
"HG00534","-7.092600055038929"
"HG00536","-11.520900199189782"
"HG00537","-3.262400047853589"
"HG00542","-6.730800179764628"
"HG00543","-5.255300069227815"
"HG00551","-4.136000154539943"
"HG00553","-4.9564000349491835"
"HG00554","-3.8787001315504313"
"HG00556","-9.044300083070993"
"HG00557","-6.867300100624561"
"HG00559","-8.697100093588233"
"HG00560","-8.53430014103651"
"HG00565","-8.975999981164932"
"HG00566","-2.81880009919405"
"HG00580","-7.164299998432398"
"HG00581","-5.819400243461132"
"HG00583","-4.609100082889199"
"HG00584","-2.441700030118227"
