"sample","PGS002724"
"HG00096","-2353094.7807853087"
"HG00097","-2390185.1252452903"
"HG00099","-2389013.0801904346"
"HG00100","-2252730.2660832494"
"HG00101","-2849585.3571434207"
"HG00102","-2507425.6449993355"
"HG00103","-1932768.545685646"
"HG00105","-1819426.1654035945"
"HG00106","-2372320.9054205483"
"HG00107","-2643504.310682112"
"HG00108","-2115618.6997776413"
"HG00109","-2311094.1435905984"
"HG00110","-2699473.7381422"
"HG00111","-1986445.1689664882"
"HG00112","-2846720.016404527"
"HG00113","-2295127.466990792"
"HG00114","-2539911.5893136514"
"HG00115","-2167810.629416587"
"HG00116","-2522608.920597035"
"HG00117","-2272647.15885566"
"HG00118","-2149624.094438919"
"HG00119","-2367294.7962418143"
"HG00120","-1971281.5246309096"
"HG00121","-2526925.8741815593"
"HG00122","-1768298.7571530011"
"HG00123","-2533419.94619143"
"HG00125","-2571944.2163308356"
"HG00126","-2753119.217550728"
"HG00127","-2219700.235946318"
"HG00128","-2266820.478647208"
"HG00129","-2815981.1234696815"
"HG00130","-2425516.683123771"
"HG00131","-1842009.2149141463"
"HG00132","-2307883.335593436"
"HG00133","-2384959.4203330358"
"HG00136","-1907035.0031536408"
"HG00137","-1920229.20935773"
"HG00138","-2283523.064356913"
"HG00139","-2505987.637253791"
"HG00140","-2307825.8844934674"
"HG00141","-2476638.222490309"
"HG00142","-2106206.1514878077"
"HG00143","-2009213.779968179"
"HG00145","-2455757.8149336185"
"HG00146","-2310646.7421993134"
"HG00148","-2514394.299061305"
"HG00149","-2410327.784822329"
"HG00150","-2353095.8244575784"
"HG00151","-2184809.6001857705"
"HG00154","-2193294.0197453876"
"HG00155","-2247367.82414731"
"HG00157","-2320270.9518518588"
"HG00158","-2210929.946314457"
"HG00159","-2079066.344247246"
"HG00160","-2405136.814656998"
"HG00171","-1790277.0902679286"
"HG00173","-1625676.7446291205"
"HG00174","-1915895.1756478618"
"HG00176","-2061172.2336367213"
"HG00177","-1749574.5927482317"
"HG00178","-2236658.6140715014"
"HG00179","-2463414.4397055665"
"HG00180","-1854056.123537423"
"HG00181","-2209201.755513097"
"HG00182","-1687050.1778270185"
"HG00183","-1945379.2242899085"
"HG00185","-1907827.4201086655"
"HG00186","-1866091.5157409173"
"HG00187","-1684631.8906587376"
"HG00188","-2121915.4795261878"
"HG00189","-2052709.8822107867"
"HG00190","-1443787.4721469325"
"HG00231","-2555083.6657995367"
"HG00232","-2128978.9646426244"
"HG00233","-2444851.3386719218"
"HG00234","-2451757.3854672667"
"HG00235","-2062042.5073617538"
"HG00236","-2144817.492729624"
"HG00237","-2338674.723656752"
"HG00238","-2231618.8757983604"
"HG00239","-2155985.006227271"
"HG00240","-1888408.6502553725"
"HG00242","-2173103.26733288"
"HG00243","-2576828.681471642"
"HG00244","-2529636.0374502093"
"HG00245","-3110320.1519934726"
"HG00246","-2103896.4748873264"
"HG00250","-2423237.616630827"
"HG00251","-2154197.2392101875"
"HG00252","-1808165.152105275"
"HG00253","-2577330.295854282"
"HG00254","-2303229.7840750464"
"HG00255","-2258484.523346182"
"HG00256","-2846654.575128125"
"HG00257","-2557401.3838345874"
"HG00258","-2295127.4423648464"
"HG00259","-2306846.6295590526"
"HG00260","-2303362.1102120886"
"HG00261","-2418825.8344204603"
"HG00262","-2338271.9923339006"
"HG00263","-2219327.573182452"
"HG00264","-1899404.883629519"
"HG00265","-2117011.508582124"
"HG00266","-2010344.9006153184"
"HG00267","-1459899.5565976747"
"HG00268","-2068491.748485669"
"HG00269","-1747266.0159992026"
"HG00271","-1754150.3136619746"
"HG00272","-2157164.8684208"
"HG00273","-1760433.791141881"
"HG00274","-1646807.3388824142"
"HG00275","-1890601.3927701004"
"HG00276","-2124492.2854184816"
"HG00277","-1556360.5319267707"
"HG00278","-1417807.339401336"
"HG00280","-1694716.8418234962"
"HG00281","-2179716.2487459704"
"HG00282","-1744617.5151294868"
"HG00284","-2104247.4920750535"
"HG00285","-1740901.8846951618"
"HG00288","-1612646.9903211189"
"HG00290","-1708683.1361231115"
"HG00304","-1879707.84239806"
"HG00306","-2080336.282756474"
"HG00308","-1618376.217560404"
"HG00309","-1732471.801264598"
"HG00310","-1952726.1235074424"
"HG00311","-1806629.338615894"
"HG00313","-1753795.8496336841"
"HG00315","-1630399.6911696205"
"HG00318","-2295209.2604615684"
"HG00319","-2059393.3947909107"
"HG00320","-2159194.8687900305"
"HG00321","-2147002.579788844"
"HG00323","-1906721.677982563"
"HG00324","-1631471.0721488907"
"HG00325","-1928539.1246165098"
"HG00326","-1485077.0348916755"
"HG00327","-1975052.4315521955"
"HG00328","-2193007.2900478854"
"HG00329","-1970491.0639165698"
"HG00330","-1929157.0083663135"
"HG00331","-1893110.5520350751"
"HG00332","-2274609.1781324297"
"HG00334","-1781537.4954505893"
"HG00335","-1505094.2262721157"
"HG00336","-1496883.6532970276"
"HG00337","-2339617.29601428"
"HG00338","-1938409.4035340277"
"HG00339","-2275841.7792773703"
"HG00341","-1830147.9681388321"
"HG00342","-2035334.9164860705"
"HG00343","-1624985.1494034752"
"HG00344","-2229455.8546230113"
"HG00345","-1721466.43433267"
"HG00346","-2191642.6306775594"
"HG00349","-1608153.4100634484"
"HG00350","-2070975.2308342126"
"HG00351","-1907072.7517510413"
"HG00353","-1612124.6527324044"
"HG00355","-2122742.28370862"
"HG00356","-2083209.1494445999"
"HG00357","-1832123.1461498318"
"HG00358","-1439521.5749894117"
"HG00360","-1610140.6710892876"
"HG00361","-1123240.9690948778"
"HG00362","-1822880.0549757755"
"HG00364","-1724367.7400943628"
"HG00365","-2010086.64980844"
"HG00366","-2334204.872633664"
"HG00367","-1755585.5436843676"
"HG00368","-1623564.6352446862"
"HG00369","-1680838.492515202"
"HG00371","-1773859.9923075773"
"HG00372","-2346169.0196030615"
"HG00373","-1471900.8502052585"
"HG00375","-1078088.7052970275"
"HG00376","-1957899.6352082603"
"HG00378","-2083509.0590744354"
"HG00379","-1631632.7387254282"
"HG00380","-2266039.475254032"
"HG00381","-1741302.8348770388"
"HG00382","-1414051.6027316626"
"HG00383","-2191083.8221005257"
"HG00384","-1916352.9663886582"
"HG00403","-920318.8134068793"
"HG00404","-206358.30987715337"
"HG00406","-934813.8581546817"
"HG00407","-896049.7972381337"
"HG00409","-161589.9934193954"
"HG00410","-524096.87324659515"
"HG00419","-158550.87315655348"
"HG00421","-820609.0746296573"
"HG00422","-661200.190680648"
"HG00428","-1122172.7665135113"
"HG00436","-776661.0172807004"
"HG00437","-667419.4215909891"
"HG00442","-675049.6044051129"
"HG00443","-654671.5816539401"
"HG00445","-948395.6312238519"
"HG00446","-674440.011497406"
"HG00448","-1075993.5265500369"
"HG00449","-732695.8532742618"
"HG00451","-641724.4811732213"
"HG00452","-385373.3180943206"
"HG00457","-389823.6774041476"
"HG00458","-676465.3401345355"
"HG00463","-448072.9552286046"
"HG00464","-362848.8222171841"
"HG00472","-1257501.6993570307"
"HG00473","-959308.0336936929"
"HG00475","-566228.920868682"
"HG00476","-1071414.2771573914"
"HG00478","-1033213.7950732"
"HG00479","-957548.7469465053"
"HG00500","-1118361.1815544448"
"HG00513","-1109637.679084327"
"HG00524","-721162.7473361115"
"HG00525","-1096137.5529750038"
"HG00530","-1091291.7109346045"
"HG00531","-126412.8218791114"
"HG00533","-1126279.6740735047"
"HG00534","-561865.3652798987"
"HG00536","-804143.7107866758"
"HG00537","-1139321.0899013332"
"HG00542","-635859.7663193643"
"HG00543","-264909.84301602346"
"HG00551","-1651757.752230185"
"HG00553","-1255332.7640917946"
"HG00554","-2100005.5762540195"
"HG00556","-840170.5981770457"
"HG00557","-938214.5270579287"
"HG00559","-562590.7936641478"
"HG00560","-662433.6251603856"
"HG00565","-179657.1088116496"
"HG00566","-629837.5917973547"
"HG00580","-1172633.5444433559"
"HG00581","-204747.78519364982"
"HG00583","-905689.7658210695"
"HG00584","-680720.7792978969"
"HG00589","-833410.3146504273"
"HG00590","-775552.2261668275"
"HG00592","-442129.08379227854"
"HG00593","-989050.4635882807"
"HG00595","-574168.2895496927"
"HG00596","-557110.6322970067"
"HG00598","-897211.0335667203"
"HG00599","-936583.5806752519"
"HG00607","-865062.8695285086"
"HG00608","-1081915.7887434806"
"HG00610","-861786.652143257"
"HG00611","-614261.1763354859"
"HG00613","-792777.6215822704"
"HG00614","-261255.87045427534"
"HG00619","-615412.6643693189"
"HG00620","-587737.5414079417"
"HG00622","-944876.5719442604"
"HG00623","-671960.115595682"
"HG00625","-69828.08890532661"
"HG00626","82289.9632705549"
"HG00628","-852464.7146947144"
"HG00629","-600435.4105332285"
"HG00631","-564172.6229902066"
"HG00632","-773383.2363856089"
"HG00634","-755674.0500887574"
"HG00637","-1551064.3840350409"
"HG00638","-2183114.4648450855"
"HG00640","-2187512.8226784337"
"HG00641","-1883745.8602094634"
"HG00650","-852219.4403009283"
"HG00651","-432123.3099009828"
"HG00653","-707419.3611901324"
"HG00654","-977741.788601139"
"HG00656","-536834.1686199091"
"HG00657","-866062.1564305453"
"HG00662","-631345.9488302155"
"HG00663","-334530.8353810512"
"HG00671","-882727.921993718"
"HG00672","-820451.4826621138"
"HG00674","-839887.0770939286"
"HG00675","-674087.991265681"
"HG00683","-1085897.827656324"
"HG00684","-517824.7654031331"
"HG00689","-1124411.697161174"
"HG00690","-992370.8166762626"
"HG00692","-619565.6374776373"
"HG00693","-568841.2552065786"
"HG00698","-714612.567054907"
"HG00699","-566551.0472548294"
"HG00701","-328547.81796037"
"HG00704","-1013744.5269069921"
"HG00705","-13425.100024122745"
"HG00707","-914177.0409911298"
"HG00708","-956058.7949854633"
"HG00717","-683629.9624301126"
"HG00728","-1224259.2349217616"
"HG00729","-826942.0740404085"
"HG00731","-2177936.2903408697"
"HG00732","-1650336.875554107"
"HG00734","-2246922.628328532"
"HG00736","-2223900.047333165"
"HG00737","-2516234.495747559"
"HG00739","-1708871.268454237"
"HG00740","-2041749.946249039"
"HG00742","-2065984.9493089747"
"HG00743","-1778213.357167077"
"HG00759","-695594.9322294218"
"HG00766","-969664.9628490908"
"HG00844","-640165.8550512806"
"HG00851","-152605.9456000693"
"HG00864","-1162120.1790954429"
"HG00867","-693698.0254721001"
"HG00879","-802519.2425536609"
"HG00881","-782969.5850653724"
"HG00956","-826588.4854744977"
"HG00978","-665258.2573435295"
"HG00982","-85254.97824579605"
"HG01028","-1052073.0582401408"
"HG01029","-1323751.0833915528"
"HG01031","-415829.8640659831"
"HG01046","-784138.1519952448"
"HG01047","-1693312.9193300824"
"HG01048","-2063000.2311436266"
"HG01049","-1816668.6816239122"
"HG01051","-1554860.4519250887"
"HG01052","-1773118.7296561473"
"HG01054","-1628684.055473501"
"HG01055","-1870819.8427258926"
"HG01058","-1844517.7959316098"
"HG01060","-2054230.401988665"
"HG01061","-1943571.404003017"
"HG01063","-1914300.9708206826"
"HG01064","-1845355.6724811262"
"HG01066","-1881344.0060166244"
"HG01067","-2239992.700323588"
"HG01069","-1597334.011649734"
"HG01070","-1985281.4629555633"
"HG01072","-1856009.388252763"
"HG01073","-1710381.3860332428"
"HG01075","-2215182.497439812"
"HG01077","-1819712.2024468745"
"HG01079","-1551706.9878137691"
"HG01080","-1923116.139653627"
"HG01082","-1942181.7572638842"
"HG01083","-1263788.0724812436"
"HG01085","-1577843.0920247505"
"HG01086","-1755065.5016219164"
"HG01088","-1516438.874611176"
"HG01089","-2007388.9817492766"
"HG01092","-1725030.5830849356"
"HG01094","-2031729.2163932193"
"HG01095","-2623507.5609401"
"HG01097","-2049580.8391488348"
"HG01098","-1799136.1777855959"
"HG01101","-1835019.6518212534"
"HG01102","-1499961.806361885"
"HG01104","-2466466.8735448644"
"HG01105","-2404465.54487865"
"HG01107","-1625853.9389458538"
"HG01108","-1585557.5704116547"
"HG01110","-1718781.0220802282"
"HG01111","-1911463.1458174202"
"HG01112","-1890685.87719958"
"HG01113","-2359026.4535657857"
"HG01119","-2221665.3261224073"
"HG01121","-1557938.2706212753"
"HG01122","-1773560.7581972594"
"HG01124","-1702336.2150393296"
"HG01125","-1657373.6328302743"
"HG01130","-2294361.9897403494"
"HG01131","-1661859.6736070265"
"HG01133","-1895512.7372228072"
"HG01134","-1655307.813579961"
"HG01136","-1946187.4768434758"
"HG01137","-1721712.0827884793"
"HG01139","-1668895.4466035035"
"HG01140","-1912613.9002325817"
"HG01142","-1804121.202879431"
"HG01148","-1226756.1931726937"
"HG01149","-1685065.2336273077"
"HG01161","-2251637.176298146"
"HG01162","-2519330.638026821"
"HG01164","-2257895.82714242"
"HG01167","-1673881.167526864"
"HG01168","-2003825.2586146235"
"HG01170","-1532911.596726792"
"HG01171","-2273237.5961404466"
"HG01173","-2045022.9918631746"
"HG01174","-1834210.114474596"
"HG01176","-1905859.2404648461"
"HG01177","-1723022.1392554124"
"HG01182","-2036309.4468800186"
"HG01183","-1938935.0690118917"
"HG01187","-1226255.6973278206"
"HG01188","-2008799.8167977007"
"HG01190","-1912078.265486154"
"HG01191","-1694641.3851773308"
"HG01197","-2317520.576377424"
"HG01198","-1683966.1406578368"
"HG01200","-1686245.303196488"
"HG01204","-1497592.9435451513"
"HG01205","-2209282.586126645"
"HG01241","-1011709.5940220437"
"HG01242","-1395325.676841313"
"HG01247","-2053563.9572266436"
