"sample","PGS004034"
"HG00096","0.19850139777096326"
"HG00097","0.00875357064216005"
"HG00099","0.2171715985217767"
"HG00100","0.050240349390968636"
"HG00101","0.02519447134749761"
"HG00102","0.07939241180492745"
"HG00103","-0.2702600545872126"
"HG00105","0.07618106597261927"
"HG00106","0.21531860292377197"
"HG00107","-0.02059925537353345"
"HG00108","0.06051514381497676"
"HG00109","0.17268032939118005"
"HG00110","0.07710956550429612"
"HG00111","0.03515393564366659"
"HG00112","-0.17541084995902662"
"HG00113","0.01120644288292777"
"HG00114","-0.025934361483444066"
"HG00115","0.054127849469810974"
"HG00116","0.0011336012323178851"
"HG00117","0.052498168448203486"
"HG00118","0.058935875114590225"
"HG00119","0.10933135821577902"
"HG00120","-0.10371266980069263"
"HG00121","0.25124137314870976"
"HG00122","0.0023994664834365576"
"HG00123","-0.08253741182968322"
"HG00125","0.20655913181341046"
"HG00126","0.0701090643255117"
"HG00127","0.10532007905236798"
"HG00128","-0.021906431612563282"
"HG00129","0.2056661108614415"
"HG00130","0.034988513280121813"
"HG00131","-0.0441564567896653"
"HG00132","-0.04082904176532533"
"HG00133","0.004831410188408852"
"HG00136","0.02204493234821324"
"HG00137","0.16060197390668443"
"HG00138","-0.013947348078147792"
"HG00139","-0.07508481174536816"
"HG00140","0.0447759180374762"
"HG00141","0.16681968528608232"
"HG00142","0.2267775637762942"
"HG00143","-0.13260232573043335"
"HG00145","-0.041557649896182075"
"HG00146","0.07081089994805426"
"HG00148","-0.07090939523630858"
"HG00149","-0.008657083856763684"
"HG00150","0.05060326020626647"
"HG00151","-0.03278185656209348"
"HG00154","-0.12061762934002859"
"HG00155","-0.027439400011017315"
"HG00157","0.13779835942773314"
"HG00158","0.0513663266236411"
"HG00159","-0.21952967017544384"
"HG00160","0.19401108964462954"
"HG00171","0.21972021239899636"
"HG00173","-0.11881815292169987"
"HG00174","0.06973596220021855"
"HG00176","-0.03224760595025723"
"HG00177","0.1906259698419004"
"HG00178","0.16322878186126688"
"HG00179","-0.29616372640399224"
"HG00180","0.15113885335882593"
"HG00181","-0.09995916384569374"
"HG00182","0.16792572349320056"
"HG00183","0.11328279653107198"
"HG00185","0.10631223323055378"
"HG00186","0.23534458132725372"
"HG00187","0.052985348489475254"
"HG00188","0.1635231498212814"
"HG00189","0.053150027901150074"
"HG00190","0.04286480128906403"
"HG00231","-0.02931588972475825"
"HG00232","0.017856761945299615"
"HG00233","-0.08064189531308863"
"HG00234","-0.016792471748641485"
"HG00235","0.0019349604143977517"
"HG00236","0.15637148075902108"
"HG00237","0.019582093650541338"
"HG00238","-0.07231758962469016"
"HG00239","0.12103474338593098"
"HG00240","0.14693285637101364"
"HG00242","0.005783104904774045"
"HG00243","0.17785226876612975"
"HG00244","-0.06400949256143623"
"HG00245","-0.016784129014121546"
"HG00246","-0.05679815979855744"
"HG00250","-0.09152273324609277"
"HG00251","0.08913845169838511"
"HG00252","0.2236368538133109"
"HG00253","0.15890773232569283"
"HG00254","-0.1889036094276735"
"HG00255","0.005071210343644439"
"HG00256","-0.15498359815544496"
"HG00257","-0.06183991650546991"
"HG00258","0.03406607931416726"
"HG00259","0.08318314025353579"
"HG00260","0.018983962786404213"
"HG00261","-0.08467274096511516"
"HG00262","0.0012229861243775314"
"HG00263","-0.033617924786197045"
"HG00264","0.1762801227400002"
"HG00265","0.12990315950066855"
"HG00266","0.03726080400450835"
"HG00267","-0.18178149962471157"
"HG00268","-0.048992027564484786"
"HG00269","-0.0685757309886026"
"HG00271","-0.15613516596223045"
"HG00272","0.12979781346585578"
"HG00273","0.10834297878358792"
"HG00274","-0.011914033222427525"
"HG00275","-0.08762188097610953"
"HG00276","-0.1763547270260799"
"HG00277","-0.11274553117806749"
"HG00278","0.07785162395918901"
"HG00280","-0.042879330185032205"
"HG00281","-0.023664392489912853"
"HG00282","-0.2661722842962835"
"HG00284","0.0726284564577305"
"HG00285","0.04455743903152373"
"HG00288","0.03757708269224004"
"HG00290","0.05944941621151273"
"HG00304","-0.15139053534376212"
"HG00306","-0.12305389837192514"
"HG00308","-0.2522598054978895"
"HG00309","0.1495158491774322"
"HG00310","-0.00266739693180075"
"HG00311","-0.005103448720691545"
"HG00313","0.10130532988873361"
"HG00315","0.11902777046498927"
"HG00318","-0.09493916127543689"
"HG00319","-0.1254413495490641"
"HG00320","-0.08910455355530342"
"HG00321","-0.15871505697688287"
"HG00323","0.010718060633477577"
"HG00324","0.19628254843130977"
"HG00325","0.021031042079807147"
"HG00326","0.012485782528123976"
"HG00327","0.04560224431748351"
"HG00328","-0.1552551983583592"
"HG00329","-0.08823729509245425"
"HG00330","-0.02834059308735573"
"HG00331","0.12147781369461166"
"HG00332","0.08073592680738363"
"HG00334","-0.0176700779093025"
"HG00335","0.14526405799981978"
"HG00336","-0.05886049349323308"
"HG00337","-0.09202568858627826"
"HG00338","-0.05816260093733529"
"HG00339","-0.1848315231895852"
"HG00341","0.29396656138185695"
"HG00342","-0.04101017961937414"
"HG00343","-0.16798940786045946"
"HG00344","-0.09294015919628903"
"HG00345","-0.003005659914610978"
"HG00346","-0.07994178926583333"
"HG00349","0.19880691775322568"
"HG00350","0.2057715541493596"
"HG00351","-0.1327808765357187"
"HG00353","0.12284615265867466"
"HG00355","0.19811635246426443"
"HG00356","0.24360127208521803"
"HG00357","-0.02550604494168565"
"HG00358","0.2936159380729525"
"HG00360","0.18545275138457767"
"HG00361","-0.022082250146107485"
"HG00362","0.0699846307164097"
"HG00364","0.04520477557755542"
"HG00365","-0.06638119464872105"
"HG00366","0.13857215603084772"
"HG00367","0.050111210162731984"
"HG00368","0.005848903007153489"
"HG00369","-0.06295307379812928"
"HG00371","-0.004821588430153692"
"HG00372","-0.020380824630781794"
"HG00373","0.031668155856081265"
"HG00375","0.16193464592665602"
"HG00376","-0.16344182530665596"
"HG00378","-0.014800258347532541"
"HG00379","-0.06519037236051223"
"HG00380","-0.1091348725186139"
"HG00381","0.2385100694179923"
"HG00382","0.13134267077574446"
"HG00383","0.09799843235016228"
"HG00384","0.016113915180346938"
"HG00403","0.012359067251950101"
"HG00404","0.3260060973536628"
"HG00406","0.04723594995950664"
"HG00407","0.15661184748010873"
"HG00409","-0.11370685817389883"
"HG00410","0.22980561218621487"
"HG00419","0.16373837028533206"
"HG00421","0.30629499727774256"
"HG00422","-0.020770597888023254"
"HG00428","0.09426516460839107"
"HG00436","0.08698814761943657"
"HG00437","0.05250632949814191"
"HG00442","0.11675871409343466"
"HG00443","0.020110588114480882"
"HG00445","0.10667865855015135"
"HG00446","0.13855076425728247"
"HG00448","0.0893700884478904"
"HG00449","-0.1076916246814672"
"HG00451","0.12765197067964235"
"HG00452","0.10213891243447287"
"HG00457","0.1145797619740038"
"HG00458","0.24640106466981726"
"HG00463","0.06552396949143302"
"HG00464","0.008303872305435028"
"HG00472","0.23209014180288384"
"HG00473","0.10918140479990424"
"HG00475","0.08946445692455166"
"HG00476","0.11722565926001413"
"HG00478","0.20712960343535336"
"HG00479","-0.040334753394827894"
"HG00500","0.003479484296986912"
"HG00513","-0.03580582888950669"
"HG00524","0.11690151776115376"
"HG00525","-0.05480673270470085"
"HG00530","-0.025208411496869115"
"HG00531","-0.11577111991329318"
"HG00533","-0.07795401051606896"
"HG00534","0.1658898280455162"
"HG00536","0.015439618768010643"
"HG00537","0.04963154840398622"
"HG00542","0.21599402935830725"
"HG00543","0.3105422735710053"
"HG00551","0.19290439204737497"
"HG00553","0.10340044145987737"
"HG00554","-0.012569337964860303"
"HG00556","0.012194592566856205"
"HG00557","0.029713659766974876"
"HG00559","0.21253918958976248"
"HG00560","-0.024353044920822214"
"HG00565","0.14458003730391608"
"HG00566","0.2524980855493876"
"HG00580","0.07773765116086412"
"HG00581","0.1097007375818771"
"HG00583","0.08301268410308138"
"HG00584","0.08951561333036176"
"HG00589","0.0784247798655197"
"HG00590","0.0807396142134918"
"HG00592","0.1634146840756247"
"HG00593","0.1265864714929549"
"HG00595","0.2196353819728601"
"HG00596","0.24847611242989548"
"HG00598","0.26177821511469845"
"HG00599","0.13475227833245365"
"HG00607","0.1865274863087268"
"HG00608","0.16582405448576445"
"HG00610","0.15085696387282135"
"HG00611","0.1140742192094158"
"HG00613","0.26922793921164256"
"HG00614","0.019339420067119237"
"HG00619","0.08362279982279022"
"HG00620","0.07242363883451368"
"HG00622","0.27804545197863906"
"HG00623","0.033721659992631964"
"HG00625","0.20290594849936505"
"HG00626","0.021612731438899357"
"HG00628","0.15755960622857004"
"HG00629","-0.08247471314354954"
"HG00631","0.028200425498654813"
"HG00632","0.09276210361732284"
