"sample","PGS005110"
"HG00096","-0.49608096278364805"
"HG00097","-0.9234123694788641"
"HG00099","-0.3105789590208358"
"HG00100","-0.48481274717620815"
"HG00101","-0.08827236165417958"
"HG00102","-0.5526866041481272"
"HG00103","-0.8483174733280053"
"HG00105","-0.26497903801354794"
"HG00106","-0.615521769557165"
"HG00107","-0.6953179033074085"
"HG00108","-0.4907449284825598"
"HG00109","-0.4567394766047476"
"HG00110","-0.3102793256312197"
"HG00111","-0.49582681554769137"
"HG00112","-0.585018876371278"
"HG00113","-0.5535548338432614"
"HG00114","-0.6391912570175763"
"HG00115","-0.23601854965830088"
"HG00116","-0.3668311092712715"
"HG00117","0.0038804971004832295"
"HG00118","-0.35668163630777716"
"HG00119","-0.3396174971048624"
"HG00120","-0.7061163435664903"
"HG00121","-0.14562603834925922"
"HG00122","-0.39601787283504175"
"HG00123","-0.4685249637016142"
"HG00125","-0.5648365495084359"
"HG00126","-0.5096896700103127"
"HG00127","-0.37591869776944525"
"HG00128","-0.40079164386164456"
"HG00129","-0.49521288230837013"
"HG00130","-0.5833486414586784"
"HG00131","-0.5015780486079189"
"HG00132","-0.35014861792564667"
"HG00133","-0.08837246435508084"
"HG00136","-0.5884466113093992"
"HG00137","-0.24183055437300163"
"HG00138","-0.4027356159848724"
"HG00139","-0.7018814649882592"
"HG00140","-0.16399419271887944"
"HG00141","-0.2613333303737102"
"HG00142","-0.29175562923594445"
"HG00143","-0.5018440094684367"
"HG00145","-0.5420884336173772"
"HG00146","-0.3441756284066053"
"HG00148","-0.5048740295401046"
"HG00149","-0.8804742146404645"
"HG00150","-0.42492736495679034"
"HG00151","-0.6203210339772178"
"HG00154","-0.6511454404402705"
"HG00155","-0.7166032002157151"
"HG00157","-0.2853888007673392"
"HG00158","-0.27124737264833493"
"HG00159","-0.1453287895998754"
"HG00160","-0.9151718409684277"
"HG00171","-0.1319032083107117"
"HG00173","-0.26148582216728067"
"HG00174","-0.5815811950095673"
"HG00176","-0.3846841866905456"
"HG00177","-0.32024520761697006"
"HG00178","-0.5418560223093121"
"HG00179","-0.916541357818488"
"HG00180","-0.6816400035269025"
"HG00181","-0.664054000541736"
"HG00182","-0.2835112859171915"
"HG00183","-0.8694847984339676"
"HG00185","-0.48317117127189635"
"HG00186","-0.38243361534981096"
"HG00187","-0.4364741773769972"
"HG00188","-0.5116252649050136"
"HG00189","-0.663888075492782"
"HG00190","-0.036182085726142066"
"HG00231","-0.6770535966592658"
"HG00232","-0.5252039471830726"
"HG00233","-0.6554351152345395"
"HG00234","-0.7344994721594539"
"HG00235","-0.16463517518878276"
"HG00236","-0.4873448032491383"
"HG00237","-0.022581233299442754"
"HG00238","-0.319008545628826"
"HG00239","-0.4270076432675521"
"HG00240","-0.01965491938484032"
"HG00242","-0.49600597041798566"
"HG00243","-0.8452192185783283"
"HG00244","-0.6501962440436985"
"HG00245","-0.6928067423269014"
