"sample","PGS004034"
"HG00096","-0.1777582279053888"
"HG00097","0.06479943319065365"
"HG00099","0.17447357815351366"
"HG00100","-0.09820752792409124"
"HG00101","-0.48667553038565375"
"HG00102","-0.2797378704250768"
"HG00103","-0.576686133832665"
"HG00105","-0.17139363783558162"
"HG00106","-0.18608202209623512"
"HG00107","-0.3462644948909928"
"HG00108","-0.09208815341188753"
"HG00109","-0.03000340770727339"
"HG00110","-0.4109026745871809"
"HG00111","-0.587297509925119"
"HG00112","-0.5300610650483525"
"HG00113","-0.26380840085199286"
"HG00114","-0.16032378526789495"
"HG00115","-0.19902678550196773"
"HG00116","-0.39118698963276183"
"HG00117","-0.30329508055121407"
"HG00118","-0.12672099379457222"
"HG00119","-0.2670529797351383"
"HG00120","-0.12464317998624258"
"HG00121","-0.19275951869659758"
"HG00122","-0.24590719455633026"
"HG00123","-0.7680027462353709"
"HG00125","-0.3501720816765287"
"HG00126","-0.5306830707954797"
"HG00127","-0.23926413604974994"
"HG00128","-0.6170478899469389"
"HG00129","-0.21823556872850824"
"HG00130","-0.3917643755404162"
"HG00131","-0.3271381594786439"
"HG00132","-0.44105155924365236"
"HG00133","-0.2922462048805401"
"HG00136","-0.32186418429339225"
"HG00137","0.07870209081531918"
"HG00138","-0.5227095243662775"
"HG00139","-0.41715427359630186"
"HG00140","-0.1418920627726259"
"HG00141","-0.047960049565202556"
"HG00142","-0.409927625328266"
"HG00143","-0.3239442199874042"
"HG00145","-0.20111227274044036"
"HG00146","0.0612712627519468"
"HG00148","-0.3584217893940004"
"HG00149","-0.3719099955558487"
"HG00150","-0.3760236103693453"
"HG00151","-0.22110282544191762"
"HG00154","-0.5623051939735361"
"HG00155","-0.48956987811708275"
"HG00157","-0.09555499862368455"
"HG00158","-0.2960766304592951"
"HG00159","-0.2148952078177948"
"HG00160","-0.21844026354615909"
"HG00171","-0.4846234473633648"
"HG00173","-0.5693285573437399"
"HG00174","-0.17421764182198815"
"HG00176","-0.26601019518373104"
"HG00177","0.012431193991905648"
"HG00178","-0.16102449743348912"
"HG00179","-0.8046668495347156"
"HG00180","-0.28005881149921713"
"HG00181","-0.30305651397638195"
"HG00182","-0.13473423935264223"
"HG00183","-0.3109947834095229"
"HG00185","-0.3440697367922037"
"HG00186","-0.12352586460724682"
"HG00187","-0.3575173424857603"
"HG00188","-0.283519792580179"
"HG00189","-0.17812211304341305"
"HG00190","-0.1938914015731038"
"HG00231","-0.3532323560536418"
"HG00232","-0.25318085416336633"
"HG00233","-0.571723741506969"
"HG00234","-0.5723525900678359"
"HG00235","-0.5066656378248391"
"HG00236","-0.26385612838499284"
"HG00237","-0.3357699115620451"
"HG00238","-0.2547971960354867"
"HG00239","-0.3785942894491507"
"HG00240","-0.6138250616877609"
"HG00242","-0.6920856414368189"
"HG00243","-0.5012994039459232"
"HG00244","-0.5637210533531442"
"HG00245","-0.4792831179142235"
"HG00246","-0.27478842977576534"
"HG00250","-0.3689338687749957"
"HG00251","0.015862080946790535"
"HG00252","-0.44791411839061746"
"HG00253","-0.023428719785690694"
"HG00254","-0.3613122744168181"
"HG00255","-0.4418289520190587"
"HG00256","-0.6599256844386604"
"HG00257","-0.21534759240930057"
"HG00258","-0.48094300019479863"
"HG00259","-0.5395703902804044"
"HG00260","-0.2767606026581304"
"HG00261","-0.3080033825925068"
"HG00262","-0.476800550184713"
"HG00263","-0.5144641510610822"
"HG00264","-0.5309088466986548"
"HG00265","0.07941778236115954"
"HG00266","0.18803440487119186"
"HG00267","-0.5574601238003991"
"HG00268","-0.36137345576348967"
"HG00269","-0.31729062389189333"
"HG00271","-0.25054220094283014"
"HG00272","0.01319119890794615"
"HG00273","-0.483913223870449"
"HG00274","-0.6561743771919475"
"HG00275","-0.3174735589091008"
"HG00276","-0.34946389279349277"
"HG00277","-0.2651321163791797"
"HG00278","-0.3330883458578494"
"HG00280","-0.20188257669025955"
"HG00281","-0.46712339158589167"
"HG00282","-0.6228981854310501"
"HG00284","0.05666388035866948"
"HG00285","-0.4881051765730454"
"HG00288","-0.5558640169917878"
"HG00290","-0.2557393223423272"
"HG00304","-0.5762357002202134"
"HG00306","-0.4215114633933821"
"HG00308","-0.5635892825072606"
"HG00309","-0.1862116044827679"
"HG00310","-0.2832093913491316"
"HG00311","-0.4186545905197458"
"HG00313","-0.20584303720082398"
"HG00315","-0.1856439054306891"
"HG00318","-0.4877712819546096"
"HG00319","-0.4851064972046374"
"HG00320","-0.49336651140169197"
"HG00321","-0.5941348381150274"
"HG00323","-0.21953898231698177"
"HG00324","-0.08170138634741128"
"HG00325","-0.2841932258959529"
"HG00326","-0.1954742248241148"
"HG00327","-0.39498564039049044"
"HG00328","-0.25992590677508953"
"HG00329","-0.156742996753915"
"HG00330","-0.023344272726626175"
"HG00331","-0.23903815650712423"
"HG00332","-0.20595380387225848"
"HG00334","-0.46881660256206203"
"HG00335","0.037222269269846564"
"HG00336","-0.33420602799059396"
"HG00337","-0.39971111459288045"
"HG00338","-0.47958595283985006"
"HG00339","-0.19741917621196048"
"HG00341","-0.1978900076605733"
"HG00342","-0.6252576179958306"
"HG00343","-0.4247647132505309"
"HG00344","-0.5466501930092285"
"HG00345","-0.05965044169780806"
"HG00346","-0.5743496599728697"
"HG00349","-0.34900503161304997"
"HG00350","-0.14735006013255367"
"HG00351","-0.4377351090327113"
"HG00353","-0.5599926798273923"
"HG00355","-0.2982643818905343"
"HG00356","0.2336898640426892"
"HG00357","-0.04790136442382609"
"HG00358","-0.061628673858169225"
"HG00360","-0.39938236085878265"
"HG00361","-0.046769140543035576"
"HG00362","-0.32645503839452306"
"HG00364","-0.45861656834005693"
"HG00365","-0.5054065162362679"
"HG00366","-0.24032315054944925"
"HG00367","-0.2648872882657456"
"HG00368","-0.4803443503379218"
"HG00369","-0.3487360521128148"
"HG00371","-0.3029746572184172"
"HG00372","-0.2948636228226141"
"HG00373","-0.5912137807484938"
"HG00375","-0.37574437489166446"
"HG00376","-0.10847253938377574"
"HG00378","-0.21229571478088827"
"HG00379","-0.5604397012971118"
