"sample","PGS000332"
"HG00096","-0.36437362558377107"
"HG00097","-0.4805229653093338"
"HG00099","-0.455077315290608"
"HG00100","-0.6019971164685242"
"HG00101","-0.6271457509165695"
"HG00102","-0.7590238357265333"
"HG00103","-0.25488536030070097"
"HG00105","-0.6870062348968478"
"HG00106","-0.594947204194591"
"HG00107","-0.317165310963203"
"HG00108","-0.5842408570662518"
"HG00109","-0.7504087575512428"
"HG00110","-0.17000340539845682"
"HG00111","-0.533940751444453"
"HG00112","-0.017557202088780824"
"HG00113","-0.3376888603194405"
"HG00114","-0.2759990333261889"
"HG00115","-0.40718853524836046"
"HG00116","-0.7606838393045345"
"HG00117","-0.662697852391637"
"HG00118","-0.7027407329979143"
"HG00119","-0.40551926892425394"
"HG00120","-0.05891877986278307"
"HG00121","-0.5163892426999692"
"HG00122","-0.5978317669001756"
"HG00123","-0.570203064583048"
"HG00125","-0.7083226039604456"
"HG00126","-0.7295530779542909"
"HG00127","-0.5482541413293471"
"HG00128","-0.5860070632868772"
"HG00129","-0.6087641417507861"
"HG00130","-0.49769632306256467"
"HG00131","-0.49836224450745503"
"HG00132","0.07473883633945186"
"HG00133","-0.48089547925070053"
"HG00136","0.03803274734411635"
"HG00137","-0.6162008520761804"
"HG00138","-0.3792961850512673"
"HG00139","-0.5144943270534124"
"HG00140","-0.6048516640248373"
"HG00141","-0.5338539336991117"
"HG00142","-0.40511891844482795"
"HG00143","-0.6403701932172128"
"HG00145","-0.5303380949282924"
"HG00146","-0.6479768975387035"
"HG00148","-0.8107970638304662"
"HG00149","-0.29642850951927835"
"HG00150","-0.5232588918749546"
"HG00151","-0.5793158009130936"
"HG00154","-0.41552229532379636"
"HG00155","-0.34348325924216405"
"HG00157","-0.4367751409402615"
"HG00158","-0.34553616415007016"
"HG00159","-0.7049812793125463"
"HG00160","-0.40077912146139316"
"HG00171","-0.3584431600991968"
"HG00173","-0.6378220261018761"
"HG00174","-0.3853781545555538"
"HG00176","-0.6561428629860422"
"HG00177","-0.3879639947091259"
"HG00178","-0.7896131377237398"
"HG00179","-0.439674899045264"
"HG00180","-0.22930452107337682"
"HG00181","-0.5357149167259365"
"HG00182","-0.42091190079291496"
"HG00183","-0.5260179815944785"
"HG00185","-0.3630629848666654"
"HG00186","-0.22962758059717162"
"HG00187","-0.3265996014661726"
"HG00188","-0.06474817058943541"
"HG00189","-0.6830456493337682"
"HG00190","-0.4976267468959754"
"HG00231","-0.6697262433254226"
"HG00232","-0.5306668997918975"
"HG00233","-0.7394640092079354"
"HG00234","-0.5513638045358458"
"HG00235","-0.20724346743021005"
"HG00236","-0.3220020688060745"
"HG00237","-0.6826807771121362"
"HG00238","-0.6142358792539605"
"HG00239","-0.23602032606987516"
"HG00240","-0.35557409127825"
"HG00242","-0.6304649563696861"
"HG00243","-0.6217135673976668"
"HG00244","-0.661526143845274"
"HG00245","-0.2942640082369562"
"HG00246","-0.33544874749608616"
"HG00250","0.174168325576592"
"HG00251","-0.4141020806104785"
"HG00252","-0.6484852324190552"
"HG00253","-0.4722924596329824"
"HG00254","-0.3978582719178206"
"HG00255","-0.38593257151470983"
"HG00256","-0.2735163131383923"
"HG00257","-0.468159236761739"
"HG00258","-0.6678051465256831"
"HG00259","-0.8066747936303195"
"HG00260","-0.5925673309125347"
"HG00261","-0.06827468959292893"
"HG00262","-0.6127041217901714"
"HG00263","-0.06765594707930377"
"HG00264","-0.4278607783358677"
"HG00265","-0.5998414291698252"
"HG00266","-0.3562810203846772"
"HG00267","-0.38155686803884226"
"HG00268","-0.6723870945752563"
"HG00269","-0.33577616708544844"
"HG00271","-0.10241787252579423"
"HG00272","-0.2906349002709128"
"HG00273","-0.46228973236476645"
"HG00274","-0.40514990837974063"
"HG00275","-0.5903880670244024"
"HG00276","-0.5310276801772237"
"HG00277","-0.44309874977321245"
"HG00278","-0.5872396622117042"
"HG00280","-0.5198423836174683"
"HG00281","0.01648278722881316"
"HG00282","-0.7533459755385651"
"HG00284","-0.530921996214877"
"HG00285","-0.7258449509291985"
"HG00288","-0.20048460543690058"
